Imprisonment,Sor/Wiz 9, Abjuration/Earth/Water/Spirit, , V S, 1 standard action, Instantaneous, Touch, Will negates; see text, Yes, Entombs subject beneath the earth.
Guards and Wards,Sor/Wiz 6, Abjuration/Air/Earth/Fire/Water/Spirit, , V S M F, 30 minutes, 2 hours/level (D), Anywhere within the area to be warded, See text, See text, Array of magic effects protect area.
Planar Binding  Lesser,Sor/Wiz 5, Conjuration/Fire/Earth/Water/Spirit/Void/Air, , V S, 10 minutes, Instantaneous, Close (25 ft. + 5 ft./2 levels); see text, Will negates, No and Yes; see text, Traps extraplanar creature of 6 HD orslesssuntil it performs a task.
Magic Circle against Evil,Clr 3; Good 3; Pal 3; Sor/Wiz 3, Abjuration/Earth/Void/Air/Fire/Water/Spirit, Good, V S M/DF, 1 standard action, 10 min./level, Touch, Will negates (harmless), No; see text, As protection from evil; but 10-ft.sradiussand 10 min./level.
Cloak of Chaos,Chaos 8; Clr 8, Abjuration/Earth/Void/Air/Fire/Spirit, Chaotic, V S F, 1 standard action, 1 round/level (D), 20 ft., See text, Yes (harmless), +4 to AC; +4 resistance; SR 25 againstslawful spells.
Detect Animals or Plants,Drd 1; Rgr 1, Divination/Water/Air/Earth/Spirit, , V S, 1 standard action, Concentration up to 10 min./level (D), Long (400 ft. + 40 ft./level), None, No, Detects kinds of animals or plants.
Invisibility Purge,Clr 3, Evocation/Fire/Air, , V S, 1 standard action, 1 min./level (D), Personal, , , Dispels invisibility within 5 ft./level.
Animal Messenger,Brd 2; Drd 2; Rgr 1, Enchantment/Air/Water/Spirit, Mind-Affecting, V S M, 1 standard action, One day/level, Close (25 ft. + 5 ft./2 levels), None; see text, Yes, Sends a Tiny animal to a specific place.
Clenched Fist,Sor/Wiz 8; Strength 8, Evocation/Fire/Air/Earth/Water, Force, V S F/DF, , , , , , Large hand provides cover; pushes; orsattacks your foes.
Power Word Kill,Sor/Wiz 9; War 9, Enchantment/Air/Void, Death; Mind-Affecting, V, 1 standard action, Instantaneous, Close (25 ft. + 5 ft./2 levels), None, Yes, Kills one creature with 100 hp or less.
Freezing Sphere,Sor/Wiz 6, Evocation/Fire/Water/Air/Earth/Spirit, Cold, V S F, 1 standard action, Instantaneous or 1 round/level; see text, Long (400 ft. + 40 ft./level), Reflex half; see text, Yes, Freezes water or deals cold damage.
Prestidigitation,Brd 0; Sor/Wiz 0, Universal/Air/Fire/Earth/Spirit, , V S, 1 standard action, 1 hour, 10 ft., See text, No, Performs minor tricks.
Daze Monster,Brd 2; Sor/Wiz 2, Enchantment/Air, Mind-Affecting, , , , Medium (100 ft. + 10 ft./level), , , Living creature of 6 HD or less losessnext action.
Tree Shape,Drd 2; Rgr 3, Transmutation/Water/Air/Spirit, , V S DF, 1 standard action, 1 hour/level (D), Personal, , , You look exactly like a tree for 1 hour/level.
Wind Walk,Clr 6; Drd 7, Transmutation/Water/Air/Fire/Spirit, Air, V S DF, 1 standard action, 1 hour/level (D); see text, Touch, No and Will negates (harmless), No and Yes (harmless), You and your allies turn vaporous andstravel fast.
Symbol of Insanity,Clr 8; Sor/Wiz 8, Enchantment/Air/Void/Fire, Mind-Affecting, , , , , Will negates, , Triggered rune renders nearbyscreatures insane.
Clairaudience/Clairvoyance,Asn 4; Brd 3; Knowledge 3; Sor/Wiz 3, Divination/Water/Air/Spirit, , V S F/DF, 10 minutes, 1 min./level (D), Long (400 ft. + 40 ft./level), None, No, Hear or see at a distance for 1 min./level.
Unhallow,Clr 5; Drd 5, Evocation/Fire/Void/Air/Earth/Spirit, Evil, V S M, 24 hours, Instantaneous, Touch, See text, See text, Designates location as unholy.
Dimensional Anchor,Clr 4; Sor/Wiz 4, Abjuration/Earth/Void/Air, , V S, 1 standard action, 1 min./level, Medium (100 ft. + 10 ft./level), None, Yes  (object), Bars extradimensional movement.
Resist Energy,Adp 2; Clr 2; Drd 2; Fire 3; Pal 2; Rgr 1; Sor/Wiz 2, Abjuration/Fire/Earth/Air, , V S DF, 1 standard action, 10 min./level, Touch, Fortitude negates (harmless), Yes (harmless), Ignores first 10 (or more) points ofsdamage/attack from specified energy type.
Illusory Script,Asn 2; Brd 3; Sor/Wiz 3, Illusion/Air/Earth/Spirit, Mind-Affecting, V S M, 1 minute or longer; see text, One day/level (D), Touch, Will negates; see text, Yes, Only intended reader can decipher.
Charm Monster,Brd 3; Sor/Wiz 4, Enchantment/Air, Mind-Affecting, , , One day/level, , , , Makes monster believe it is your ally.
Shadow Walk,Brd 5; Sor/Wiz 6, Illusion/Air/Void/Water/Spirit, , V S, 1 standard action, 1 hour/level (D), Touch, Will negates, Yes, Step into shadow to travel rapidly.
Wall of Stone,Adp 5; Clr 5; Drd 6; Earth 5; Sor/Wiz 5, Conjuration/Spirit/Void/Air/Earth, Earth, V S M/DF, 1 standard action, Instantaneous, Medium (100 ft. + 10 ft./level), See text, No, Creates a stone wall that can be shaped.
Secret Chest,Sor/Wiz 5, Conjuration/Earth/Water/Spirit/Air/Fire, , V S F, 10 minutes, Sixty days or until discharged, See text, None, No, Hides expensive chest on EtherealsPlane; yousretrieve it at will.
Water Breathing,Clr 3; Drd 3; Sor/Wiz 3; Water 3, Transmutation/Water/Air, , V S M/DF, 1 standard action, 2 hours/level; see text, Touch, Will negates (harmless), Yes (harmless), Subjects can breathe underwater.
Arcane Mark,Sor/Wiz 0, Universal/Air/Fire/Spirit, , V S, 1 standard action, Permanent, 0 ft., None, No, Inscribes a personal rune (visible or invisible).
Shadow Conjuration,Brd 4; Sor/Wiz 4, Illusion/Air/Spirit/Earth, , V S, 1 standard action, See text, See text, Will disbelief (if interacted with);       varies; see text, Yes; see text, Mimics conjuration below 4th level;sbut onlys20% real.
Mirror Image,Adp 2; Brd 2; Sor/Wiz 2, Illusion/Air/Fire/Spirit, , V S, 1 standard action, 1 min./level (D), Personal; see text, , , Creates decoy duplicates of you (1d4s+1 persthree levels; max 8).
Knock,Sor/Wiz 2, Transmutation/Water/Air, , V, 1 standard action, Instantaneous; see text, Medium (100 ft. + 10 ft./level), None, No, Opens locked or magically sealed door.
Pyrotechnics,Brd 2; Sor/Wiz 2, Transmutation/Fire/Water/Air/Earth, , V S M, 1 standard action, 1d4+1 rounds or 1d4+1 rounds after creatures       leave
      the smoke cloud; see text, Long (400 ft. + 40 ft./level), Will negates or Fortitude negates; see text, Yes or No; see text, Turns fire into blinding light orschoking smoke.
Dimensional Lock,Clr 8; Sor/Wiz 8, Abjuration/Earth/Void/Air, , V S, 1 standard action, One day/level, Medium (100 ft. + 10 ft./level), None, Yes, Teleportation and interplanar travelsblockedsfor one day/level.
Command,Adp 1; Clr 1, Enchantment/Air/Fire/Spirit, Language-Dependent; Mind-Affecting, V, 1 standard action, 1 round, Close (25 ft. + 5 ft./2 levels), Will negates, Yes, One subject obeys selected command fors1 round.
Charm Monster  Mass,Brd 6; Sor/Wiz 8, Enchantment/Air, Mind-Affecting, V, , One day/level, , , , As charm monster; but all within 30 ft.
Hold Monster  Mass,Sor/Wiz 9, Enchantment/Air, Mind-Affecting, , , , , , , As hold monster; but all within 30 ft.
Reverse Gravity,Drd 8; Sor/Wiz 7, Transmutation/Water/Air/Fire/Spirit, , V S M/DF, 1 standard action, 1 round/level (D), Medium (100 ft. + 10 ft./level), None; see text, No, Objects and creatures fall upward.
Invisibility  Greater,Asn 4; Brd 4; Sor/Wiz 4, Illusion/Air, , V S, , 1 round/level (D), , Will negates (harmless), , As invisibility; but subject cansattack andsstay invisible.
Darkness,Adp 2; Asn 2; Blk 2; Brd 2; Clr 2; Sor/Wiz 2, Evocation/Fire/Void/Air/Spirit, Darkness, V M/DF, 1 standard action, 10 min./level (D), Touch, None, No, 20-ft. radius of supernatural shadow.
Weird,Sor/Wiz 9, Illusion/Air/Earth, Fear; Mind-Affecting, , , , , , , As phantasmal killer; but affects allswithins30 ft.
Cat's Grace,Adp 2; Asn 2; Brd 2; Drd 2; Rgr 2; Sor/Wiz 2, Transmutation/Water/Air, , V S M, 1 standard action, 1 min./level, Touch, Will negates (harmless), Yes, Subject gains +4 to Dex for 1 min./level.
Shadow Conjuration  Greater,Sor/Wiz 7, Illusion/Air/Spirit, , , , , , , , As shadow conjuration; but up to 6thslevelsand 60% real.
Remove Blindness/Deafness,Clr 3; Pal 3, Conjuration/Spirit/Air/Water, , V S, 1 standard action, Instantaneous, Touch, Fortitude negates (harmless), Yes (harmless), Cures normal or magical conditions.
Gate,Clr 9; Sor/Wiz 9, Conjuration/Fire/Earth/Water/Spirit/Void/Air, , V S XP; see text, 1 standard action, Instantaneous or concentration (up to 1
      round/level); see text, Medium (100 ft. + 10 ft./level), None, No, Connects two planes for travel or summoning.
Fear,Brd 3; Sor/Wiz 4, Necromancy/Void/Air, Fear; Mind-Affecting, V S M, 1 standard action, 1 round/level or 1 round; see text, 30 ft., Will partial, Yes, Subjects within cone flee for 1 round/level.
Make Whole,Clr 2, Transmutation/Earth/Water/Air/Fire, , , 1 standard action, , Close (25 ft. + 5 ft./2 levels), , , Repairs an object.
Hold Portal,Sor/Wiz 1, Abjuration/Earth/Air/Water/Spirit, , V, 1 standard action, 1 min./level (D), Medium (100 ft. + 10 ft./level), None, No, Holds door shut.
Telekinesis,Sor/Wiz 5, Transmutation/Water/Air/Fire/Earth/Spirit, , V S, 1 standard action, Concentration (up to 1 round/ level) or
      instantaneous; see text, Long (400 ft. + 40 ft./level), Will negates (object) or None; see text, Yes  (object); see text, Moves object; attacks creature; orshurlssobject or creature.
Phase Door,Sor/Wiz 7; Travel 8, Conjuration/Spirit/Air/Earth, , V, 1 standard action, One usage per two levels, 0 ft., None, No, Creates an invisible passage throughswood or stone.
Forcecage,Sor/Wiz 7, Evocation/Fire/Void/Air/Earth/Spirit, Force, V S M, 1 standard action, 2 hours/level (D), Close (25 ft. + 5 ft./2 levels), None, No, Cube or cage of force imprisons all inside.
Dominate Person,Brd 4; Sor/Wiz 5, Enchantment/Air/Void/Fire/Earth/Spirit, Mind-Affecting, V S, 1 round, One day/level, Close (25 ft. + 5 ft./2 levels), Will negates, Yes, Controls humanoid telepathically.
Reincarnate,Drd 4, Transmutation/Earth/Water/Void/Air/Fire/Spirit, , V S M DF, 10 minutes, Instantaneous, Touch, None; see text, Yes (harmless), Brings dead subject back in a random body.
Mirage Arcana,Brd 5; Sor/Wiz 5, Illusion/Air, , V S, 1 standard action, Concentration +1 hour/ level (D), , , , As hallucinatory terrain; plus structures.
Faerie Fire,Drd 1, Evocation/Fire/Void/Air/Spirit, Light, V S DF, 1 standard action, 1 min./level (D), Long (400 ft. + 40 ft./level), None, Yes, Outlines subjects with light;scancelingsblur; concealment; and the like.
Ethereal Jaunt,Clr 7; Sor/Wiz 7, Transmutation/Earth/Water/Void/Air/Spirit, , V S, 1 standard action, 1 round/level (D), Personal, , , You become ethereal for 1 round/level.
Phantasmal Killer,Sor/Wiz 4, Illusion/Air, Fear; Mind-Affecting, V S, 1 standard action, Instantaneous, Medium (100 ft. + 10 ft./level), Will disbelief (if interacted with) then      Fortitude partial; see text, Yes, Fearsome illusion kills subject orsdeals 3d6 damage.
False Vision,Brd 5; Sor/Wiz 5; Trickery 5, Illusion/Air/Water, , V S M, 1 standard action, 1 hour/level (D), Touch, None, No, Fools scrying with an illusion.
Blasphemy,Clr 7; Evil 7, Evocation/Fire/Air/Void, Evil; Sonic, V, 1 standard action, Instantaneous, 30 ft., None or Will negates; see text, Yes, Kills; paralyzes; weakens; or dazessnonevil subjects.
Minor Image,Brd 2; Sor/Wiz 2, Illusion/Air/Fire, , , , Concentration +2 rounds, , , , As silent image; plus some sound.
Dispel Magic,Brd 3; Clr 3; Drd 4; Magic 3; Pal 3; Sor/Wiz 3, Abjuration/Earth/Air/Spirit, , V S, 1 standard action, Instantaneous, Medium (100 ft. + 10 ft./level), None, No, Cancels magical spells and effects.
Reduce Person,Sor/Wiz 1, Transmutation/Fire/Water/Air/Earth/Spirit, , V S M, 1 round, 1 min./level (D), Close (25 ft. + 5 ft./2 levels), Fortitude negates, Yes, Humanoid creature halves in size.
Analyze Dweomer,Brd 6; Sor/Wiz 6, Divination/Water/Air, , V S F, 1 standard action, 1 round/level (D), Close (25 ft. + 5 ft./2 levels), None or Will negates; see text, No, Reveals magical aspects of subject.
Project Image,Brd 6; Sor/Wiz 7, Illusion/Air/Spirit/Void, , V S M, 1 standard action, 1 round/level (D), Medium (100 ft. + 10 ft./level), Will disbelief (if interacted with), No, Illusory double can talk and cast spells.
Song of Discord,Brd 5, Enchantment/Air/Spirit, Mind-Affecting; Sonic, V S, 1 standard action, 1 round/level, Medium (100 ft. + 10 ft./level), Will negates, Yes, Forces targets to attack each other.
Glitterdust,Brd 2; Sor/Wiz 2, Conjuration/Spirit/Air, , V S M, 1 standard action, 1 round/level, Medium (100 ft. + 10 ft./level), Will negates (blinding only), No, Blinds creatures; outlines invisible creatures.
Foresight,Drd 9; Knowledge 9; Sor/Wiz 9, Divination/Water/Air/Fire/Spirit, , V S M/DF, 1 standard action, 10 min./level, Personal or touch, None or Will negates (harmless), No or Yes (harmless), "Sixth sense" warns ofsimpending danger.
Magic Mouth,Brd 1; Sor/Wiz 2, Illusion/Air/Void, , V S M, 1 standard action, Permanent until discharged, Close (25 ft. + 5 ft./2 levels), Will negates (object), Yes  (object), Speaks once when triggered.
Prayer,Clr 3; Pal 3, Enchantment/Air/Void/Earth, Mind-Affecting, V S DF, 1 standard action, 1 round/level, 40 ft., None, Yes, Allies +1 bonus on most rolls; enemiess-1 penalty.
Air Walk,Air 4; Clr 4; Drd 4, Transmutation/Water/Air/Fire/Spirit, Air, V S DF, 1 standard action, 10 min./level, Touch, None, Yes (harmless), Subject treads on air as if solids(climb ats45-degree angle).
Blur,Brd 2; Sor/Wiz 2, Illusion/Air, , V, 1 standard action, 1 min./level (D), Touch, Will negates (harmless), Yes (harmless), Attacks miss subject 20% of the time.
Wall of Ice,Sor/Wiz 4, Evocation/Fire/Air/Earth/Water/Spirit, Cold, V S M, 1 standard action, 1 min./level, Medium (100 ft. + 10 ft./level), Reflex negates; see text, Yes, Ice plane creates wall with 15 hps+1/level;sor hemisphere can trap creatures inside.
Baleful Polymorph,Adp 5; Drd 5; Sor/Wiz 5, Transmutation/Water/Air/Fire/Spirit, , V S, 1 standard action, Permanent, Close (25 ft. + 5 ft./2 levels), Fortitude negates Will partial; see text, Yes, Transforms subject into harmless animal.
Permanency,Sor/Wiz 5, Universal/Fire/Void/Air/Water/Spirit, , V S XP, 2 rounds, Permanent; see text, See text, None, No, Makes certain spells permanent.
Transformation,Sor/Wiz 6, Transmutation/Water/Air/Earth, , V S M, 1 standard action, 1 round/level, Personal, , , You gain combat bonuses.
Repel Metal or Stone,Drd 8, Abjuration/Earth/Air, Earth, V S, 1 standard action, 1 round/level (D), 60 ft., None, No, Pushes away metal and stone.
Black Tentacles,Sor/Wiz 4, Conjuration/Earth/Water/Spirit/Air, , V S M, 1 standard action, 1 round/level (D), Medium (100 ft. + 10 ft./level), None, No, Tentacles grapple all within 15 ft. spread.
Mage Armor,Sor/Wiz 1, Conjuration/Spirit/Air, Force, V S F, 1 standard action, 1 hour/level (D), Touch, Will negates (harmless), No, Gives subject +4 armor bonus.
Good Hope,Brd 3, Enchantment/Air/Earth/Spirit, Mind-Affecting, V S, 1 standard action, 1 min./level, Medium (100 ft. + 10 ft./level), Will negates (harmless), Yes (harmless), Subjects gain +2 on attack rolls;sdamagesrolls; saves; and checks.
Illusory Wall,Sor/Wiz 4, Illusion/Air/Spirit, , V S, 1 standard action, Permanent, Close (25 ft. + 5 ft./2 levels), Will disbelief (if interacted with), No, Wall; floor; or ceiling looks real;sbutsanything can pass through.
Silent Image,Brd 1; Sor/Wiz 1, Illusion/Air, , V S F, 1 standard action, Concentration, Long (400 ft. + 40 ft./level), Will disbelief (if interacted with), No, Creates minor illusion of your design.
Geas  Lesser,Brd 3; Sor/Wiz 4, Enchantment/Air/Void/Fire/Spirit, Language-Dependent; Mind-Affecting, V, 1 round, One day/level or until discharged (D), Close (25 ft. + 5 ft./2 levels), Will negates, Yes, Commands subject of 7 HD or less.
Shades,Sor/Wiz 9, Illusion/Air/Spirit, , , , , , , , As shadow conjuration; but up to 8thslevelsand 80% real.
Animal Growth,Drd 5; Rgr 4; Sor/Wiz 5, Transmutation/Water/Air/Earth/Spirit, , V S, 1 standard action, 1 min./level, Medium (100 ft. + 10 ft./level), Fortitude negates, Yes, One animal/two levels doubles in size.
Cloudkill,Sor/Wiz 5, Conjuration/Water/Spirit/Air, , V S, 1 standard action, 1 min./level, Medium (100 ft. + 10 ft./level), Fortitude partial; see text, No, Kills 3 HD or less; 4-6 HD save orsdie; 6+sHD take Con damage.
Charm Person,Brd 1; Sor/Wiz 1, Enchantment/Air/Fire/Spirit, Mind-Affecting, V S, 1 standard action, 1 hour/level, Close (25 ft. + 5 ft./2 levels), Will negates, Yes, Makes one person your friend.
Iron Body,Earth 8; Sor/Wiz 8, Transmutation/Fire/Water/Air/Earth/Spirit, , V S M/DF, 1 standard action, 1 min./level (D), Personal, , , Your body becomes living iron.
Ghost Sound,Adp 0; Asn 1; Brd 0; Sor/Wiz 0, Illusion/Air/Spirit, , V S M, 1 standard action, 1 round/level (D), Close (25 ft. + 5 ft./2 levels), Will disbelief (if interacted with), No, Figment sounds.
Dream,Brd 5; Sor/Wiz 5, Illusion/Air/Fire/Spirit, Mind-Affecting, V S, 1 minute, See text, Unlimited, None, Yes, Sends message to anyone sleeping.
Charm Animal,Drd 1; Rgr 1, Enchantment/Air/Spirit, Mind-Affecting, , , , , , , Makes one animal your friend.
Astral Projection,Clr 9; Sor/Wiz 9; Travel 9, Necromancy/Spirit/Void/Air/Fire, , V S M, 30 minutes, See text, Touch, None, Yes, Projects you and companions ontosAstral Plane.
Mislead,Brd 5; Luck 6; Sor/Wiz 6; Trickery 6, Illusion/Air, , S, 1 standard action, 1 round/level (D) and concentration + 3 rounds;       see text, Close (25 ft. + 5 ft./2 levels), None or Will disbelief (if interacted       with); see text, No, Turns you invisible and createssillusory double.
Clone,Sor/Wiz 8, Necromancy/Void/Air/Water/Spirit, , V S M F, 10 minutes, Instantaneous, 0 ft., None, No, Duplicate awakens when original dies.
Sympathetic Vibration,Brd 6, Evocation/Fire/Earth/Air, Sonic, V S F, 10 minutes, Up to 1 round/level, Touch, None; see text, Yes, Deals 2d10 damage/round tosfreestanding structure.
Veil,Brd 6; Sor/Wiz 6, Illusion/Air, , V S, 1 standard action, Concentration + 1 hour/level (D), Long (400 ft. + 40 ft./level), Will negates; see text, Yes; see text, Changes appearance of group of creatures.
Programmed Image,Brd 6; Sor/Wiz 6, Illusion/Air/Spirit, , , , Permanent until triggered then 1 round/level, , , , As major image; plus triggered by event.
